Date,VNQ,VNQI,SCHH,IYR,XLRE,RWR,RWX,RWO,ICF,REET,REM,USRT,FREL,IFGL,MORL,KBWY,REZ,GQRE,WPS,MORT,SRET,URE,FRI,DRW,MRRL,ROOF,GRI,FFR,DRN,TAO,PSR,IFEU,EWRE,SRS,DRV,WREI,REK,LRET,PRME
2017-09-07,79.09916700000001,55.395286999999996,39.640038,81.730003,31.245929999999998,88.504143,36.974319,46.137153999999995,98.33515200000001,24.352917,40.24419,46.461407,22.929798,28.232681,13.145885,36.630001,61.96143000000001,59.40576899999999,38.650002,21.730026000000002,15.43,64.16082800000001,22.805836,29.674721,13.028131,24.625708,42.784884999999996,43.123791,22.419422,25.244249,78.726395,37.102135,26.394489,29.711470000000002,10.507831,45.07996,15.907969,23.613098,18.693804
2017-09-08,79.164406,55.423023,39.687560999999995,81.68,31.255344,88.645279,36.992996000000005,46.137153999999995,98.421028,24.371508,40.209629,46.424374,22.95751,28.394119,13.087132,36.900002,62.30011700000001,59.568367,38.919998,21.765503,15.465,64.0924,22.85409,29.730377,12.942478999999999,24.652998,42.822604999999996,43.397861,22.496399,25.340533999999998,78.74587199999999,37.300835,26.460974,29.711470000000002,10.458313,45.203625,15.907969,23.613098,18.749439000000002
2017-09-11,79.891449,55.654143999999995,40.010769,82.370003,31.481287,89.341583,36.983658,46.326279,99.308403,24.520224,40.512085,46.831771999999994,23.114567,28.432106,13.278079,37.25,62.525898,59.950947,38.959998999999996,21.889673000000002,15.56,65.118584,23.027815,29.962282000000002,13.181126,24.907715,43.077221,43.681385,23.0641,25.786947,79.154724,37.527935,26.65568,29.235132,10.210721000000001,45.27021,15.788807,24.017719,18.897802
2017-09-12,78.95002,55.487736,39.544964,81.540001,31.142378000000004,88.250084,36.824886,45.948025,98.020302,24.325032999999998,40.572582000000004,46.229931,22.902082,28.31815,13.329632,37.029999,61.472191,59.664013,38.759997999999996,21.969501,15.56,63.818764,22.728626000000002,29.878799,13.159841,24.698484,42.794315000000005,43.322254,22.275093,25.725673999999998,78.502495,37.357616,26.3375,29.800783000000003,10.547446,45.298747999999996,15.967548,23.721746,18.805077
2017-09-13,78.744949,55.256618,39.497444,81.239998,31.010571999999996,88.184227,36.55405,45.768359999999994,97.753113,24.21349,40.192345,46.229931,22.828170999999998,28.166203999999997,13.101333,37.23,61.2276,59.377075,38.619999,21.71229,15.45,63.349651,22.718975,29.702548999999998,12.997606,24.734873,42.615142999999996,42.896972999999996,22.092272,25.760689000000003,77.898933,36.922344,26.233027000000003,30.019102,10.636579,45.022881,15.997338000000001,23.721746,18.805077
2017-09-14,79.39743,55.460003,39.906197,81.739998,31.227106,89.096939,36.628769,46.08987,98.70728299999999,24.380802,40.235554,46.535484000000004,22.966751000000002,28.194695,13.049783,37.240002000000004,61.650963,59.501415,38.669998,21.77437,15.43,64.10218,22.921648,29.823139,13.05927,24.844034,42.747162,43.265545,22.640732,25.874479,78.453812,37.111599,26.484718,29.671771999999997,10.359276,45.327286,15.898038,23.467049,18.805077
2017-09-15,79.546562,55.885268999999994,39.953732,82.08000200000001,31.337093,89.18420400000001,36.747456,46.203303999999996,98.506912,24.417982000000002,40.442947,46.702137,23.024519,28.251672999999997,13.204434,37.450001,61.895565000000005,59.721396999999996,38.740002000000004,21.863068,15.481,64.61039,22.98921,30.194187,13.110656,24.86223,42.935767999999996,43.416759000000006,22.756197,26.609749,78.97949200000001,37.386005,26.526749,29.453454999999998,10.309757000000001,45.546074,15.838457,23.827135000000002,18.805077
2017-09-18,79.11779,55.996201,39.741496999999995,81.639999,31.156940000000002,88.747856,36.643837,45.984066,98.239731,24.315739,40.607147,46.470665000000004,23.294739,28.213686,13.263352,37.029999,61.94260799999999,59.635315000000006,38.700001,21.96063,15.46,63.965351,22.863743,30.388990000000003,13.213428,24.844034,42.643436,43.293903,22.419422,27.082421999999998,78.453812,37.121059,26.354807,29.761086,10.478119,45.355824,15.927829000000001,23.586496,18.805077
2017-09-19,78.59581800000001,55.996201,39.43557,81.010002,30.844044,88.064888,36.530796,45.717152,97.47641800000001,24.157721,40.754055,46.229931,22.717029999999998,28.147213,13.410639999999999,36.630001,61.556881000000004,59.48228100000001,38.68,22.040454999999998,15.53,62.939175,22.690018,30.407543,13.392539999999999,24.716677,42.511406,43.029282,21.967188,27.266240999999997,77.879448,37.102135,26.187645,30.207653000000004,10.686097,44.946781,16.046989,23.586496,18.805077
2017-09-20,78.38143199999999,55.802063000000004,39.368649,80.809998,30.758707,87.913124,36.436592,45.631359,97.23788499999999,24.120542999999998,40.684917,46.044758,22.698395,28.061746999999997,13.344358999999999,36.720001,61.274634999999996,59.281425,38.48,22.004978,15.47,62.558029000000005,22.651415,30.249846999999995,13.316196,24.680288,42.237934,42.96312,21.784369,27.231228,77.782104,36.77095,26.049132999999998,30.396202000000002,10.77523,45.089465999999994,16.096638000000002,23.586496,18.749439000000002
